bank_id,coin_id,createdAt,updatedAt
2,6,2021-10-06 22:07:39,
2,9,2021-10-06 22:07:39,2021-10-06 22:07:39
11,6,2021-10-06 22:07:39,2021-10-06 22:07:39
11,9,2021-10-06 22:07:39,2021-10-06 22:07:39
17,6,2021-10-06 22:07:39,2021-10-06 22:07:39
17,9,2021-10-06 22:07:39,2021-10-06 22:07:39
23,6,2021-10-06 22:07:39,2021-10-06 22:07:39
23,9,2021-10-06 22:07:39,2021-10-06 22:07:39
34,6,2021-10-06 22:07:39,2021-10-06 22:07:39
34,9,2021-10-06 22:07:39,2021-10-06 22:07:39
3,6,2021-10-06 22:07:39,2021-10-06 22:07:39
3,8,2021-10-06 22:07:39,2021-10-06 22:07:39
16,6,2021-10-06 22:07:39,2021-10-06 22:07:39
16,8,2021-10-06 22:07:39,2021-10-06 22:07:39
18,6,2021-10-06 22:07:39,2021-10-06 22:07:39
18,8,2021-10-06 22:07:39,2021-10-06 22:07:39
25,6,2021-10-06 22:07:39,2021-10-06 22:07:39
25,8,2021-10-06 22:07:39,2021-10-06 22:07:39
33,6,2021-10-06 22:07:39,2021-10-06 22:07:39
33,8,2021-10-06 22:07:39,2021-10-06 22:07:39
36,6,2021-10-06 22:07:39,2021-10-06 22:07:39
36,8,2021-10-06 22:07:39,2021-10-06 22:07:39
39,6,2021-10-06 22:07:39,2021-10-06 22:07:39
39,8,2021-10-06 22:07:39,2021-10-06 22:07:39
40,6,2021-10-06 22:07:39,2021-10-06 22:07:39
40,8,2021-10-06 22:07:39,2021-10-06 22:07:39
41,6,2021-10-06 22:07:39,2021-10-06 22:07:39
41,8,2021-10-06 22:07:39,2021-10-06 22:07:39
42,6,2021-10-06 22:07:39,2021-10-06 22:07:39
42,8,2021-10-06 22:07:39,2021-10-06 22:07:39
1,1,2021-10-06 22:07:39,2021-10-06 22:07:39
1,6,2021-10-06 22:07:39,2021-10-06 22:07:39
4,1,2021-10-06 22:07:39,2021-10-06 22:07:39
4,6,2021-10-06 22:07:39,2021-10-06 22:07:39
5,1,2021-10-06 22:07:39,2021-10-06 22:07:39
6,1,2021-10-06 22:07:39,2021-10-06 22:07:39
7,1,2021-10-06 22:07:39,2021-10-06 22:07:39
8,1,2021-10-06 22:07:39,2021-10-06 22:07:39
9,1,2021-10-06 22:07:39,2021-10-06 22:07:39
10,1,2021-10-06 22:07:39,2021-10-06 22:07:39
11,1,2021-10-06 22:07:39,2021-10-06 22:07:39
12,1,2021-10-06 22:07:39,2021-10-06 22:07:39
13,1,2021-10-06 22:07:39,2021-10-06 22:07:39
14,1,2021-10-06 22:07:39,2021-10-06 22:07:39
15,1,2021-10-06 22:07:39,2021-10-06 22:07:39
16,1,2021-10-06 22:07:39,2021-10-06 22:07:39
19,1,2021-10-06 22:07:39,2021-10-06 22:07:39
19,6,2021-10-06 22:07:39,2021-10-06 22:07:39
19,7,2021-10-06 22:07:39,2021-10-06 22:07:39
20,1,2021-10-06 22:07:39,2021-10-06 22:07:39
21,1,2021-10-06 22:07:39,2021-10-06 22:07:39
22,1,2021-10-06 22:07:39,2021-10-06 22:07:39
23,1,2021-10-06 22:07:39,2021-10-06 22:07:39
24,1,2021-10-06 22:07:39,2021-10-06 22:07:39
27,1,2021-10-06 22:07:39,2021-10-06 22:07:39
28,1,2021-10-06 22:07:39,2021-10-06 22:07:39
28,6,2021-10-06 22:07:39,2021-10-06 22:07:39
29,1,2021-10-06 22:07:39,2021-10-06 22:07:39
30,1,2021-10-06 22:07:39,2021-10-06 22:07:39
31,1,2021-10-06 22:07:39,2021-10-06 22:07:39
32,1,2021-10-06 22:07:39,2021-10-06 22:07:39
32,6,2021-10-06 22:07:39,2021-10-06 22:07:39
32,7,2021-10-06 22:07:39,2021-10-06 22:07:39
33,1,2021-10-06 22:07:39,2021-10-06 22:07:39
35,1,2021-10-06 22:07:39,2021-10-06 22:07:39
38,1,2021-10-06 22:07:39,2021-10-06 22:07:39
