id,name,active,createdAt,updatedAt
1,coins - VES,true,2021-10-06 22:07:39,2021-10-06 22:07:39
2,coins - USD,true,2021-10-06 22:07:39,2021-10-06 22:07:39
3,coins - EUR,true,2021-10-06 22:07:39,2021-10-06 22:07:39
4,coins - CLP,true,2021-10-06 22:07:39,2021-10-06 22:07:39
5,coins - ARS,true,2021-10-06 22:07:39,2021-10-06 22:07:39
6,coins - BTC,true,2021-10-06 22:07:39,2021-10-06 22:07:39
7,coins - ETH,true,2021-10-06 22:07:39,2021-10-06 22:07:39
8,coins - LTC,true,2021-10-06 22:07:39,2021-10-06 22:07:39
9,coins - DASH,true,2021-10-06 22:07:39,2021-10-06 22:07:39
10,coins - PTR,true,2021-10-06 22:07:39,2021-10-06 22:07:39
11,payment methods,true,2021-10-06 22:07:39,2021-10-06 22:07:39
12,users,true,2021-10-06 22:07:39,2021-10-06 22:07:39
13,transactions,true,2021-10-06 22:07:39,2021-10-06 22:07:39
